County,Agency,Sworn,Reserve,Dispatcher,Records,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,1015,49,39,0,1103
ALPINE COUNTY,ALPINE CO SD,16,0,0,0,16
AMADOR COUNTY,AMADOR CO SD/CORONER,48,4,12,0,64
BUTTE COUNTY,BUTTE CO SD/CORONER,96,37,12,0,145
CALAVERAS COUNTY,CALAVERAS CO SD,52,5,12,1,70
COLUSA COUNTY,COLUSA COUNTY SD,35,1,9,1,46
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,621,53,46,4,724
DEL NORTE COUNTY,DEL NORTE COUNTY SD,28,12,4,1,45
EL DORADO COUNTY,EL DORADO CO SD,167,8,24,1,200
FRESNO COUNTY,FRESNO CO SD,406,36,36,0,478
GLENN COUNTY,GLENN CO SD/CORONER,26,4,9,0,39
HUMBOLDT COUNTY,HUMBOLDT CO SD,171,24,9,2,206
IMPERIAL COUNTY,IMPERIAL CO SD,98,20,11,1,130
INYO COUNTY,INYO COUNTY SD,36,12,6,1,55
KERN COUNTY,KERN COUNTY SD,835,86,39,4,964
KINGS COUNTY,KINGS CO SD,70,6,15,1,92
LAKE COUNTY,LAKE CO SD,56,3,10,2,71
LASSEN COUNTY,LASSEN CO SD,28,23,5,0,56
LOS ANGELES COUNTY,LOS ANGELES CO SD,9319,907,563,0,10789
MADERA COUNTY,MADERA CO SD,69,48,8,1,126
MARIN COUNTY,MARIN CO SD,204,0,39,2,245
MARIPOSA COUNTY,MARIPOSA CO SD,40,14,0,1,55
MENDOCINO COUNTY,MENDOCINO CO SD,113,8,11,5,137
MERCED COUNTY,MERCED CO SD,106,41,11,4,162
MODOC COUNTY,MODOC CO SD,13,0,3,0,16
MONO COUNTY,MONO CO SD,28,2,17,2,49
MONTEREY COUNTY,MONTEREY CO SHERIFF'S OFFICE,296,5,0,1,302
NAPA COUNTY,NAPA CO SD,102,0,0,2,104
NEVADA COUNTY,NEVADA CO SD,69,18,15,1,103
ORANGE COUNTY,ORANGE CO SD/CORONER,1744,247,56,3,2050
PLACER COUNTY,PLACER COUNTY SD,223,88,24,2,337
PLUMAS COUNTY,PLUMAS CO SD,30,14,9,0,53
RIVERSIDE COUNTY,RIVERSIDE CO SD,2106,47,169,6,2328
SACRAMENTO COUNTY,SACRAMENTO CO SD,1199,453,58,9,1719
SAN BENITO COUNTY,SAN BENITO CO SD,29,6,0,1,36
SAN BERNARDINO COUNTY,SAN BERNARDINO CO SD,1721,237,151,0,2109
SAN DIEGO COUNTY,SAN DIEGO CO SD,1213,116,109,19,1457
SAN FRANCISCO COUNTY,SAN FRANCISCO CO SD,873,0,0,0,873
SAN JOAQUIN COUNTY,SAN JOAQUIN CO SD,296,26,34,8,364
SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO CO SD,143,12,16,1,172
SAN MATEO COUNTY,SAN MATEO CO SD,321,42,0,3,366
SANTA BARBARA COUNTY,SANTA BARBARA CO SD,268,29,28,3,328
SANTA CLARA COUNTY,SANTA CLARA CO SD,466,71,0,4,541
SANTA CRUZ COUNTY,SANTA CRUZ CO SD,139,26,0,2,167
SHASTA COUNTY,SHASTA CO SD,140,17,0,1,158
SIERRA COUNTY,SIERRA CO SD,11,2,0,1,14
SISKIYOU COUNTY,SISKIYOU CO SD,81,4,8,0,93
SOLANO COUNTY,SOLANO CO SD,108,16,14,1,139
SONOMA COUNTY,SONOMA CO SHERIFF'S OFFICE,233,10,29,2,274
STANISLAUS COUNTY,STANISLAUS CO SD,173,41,0,6,220
SUTTER COUNTY,SUTTER CO SD,104,31,14,0,149
TEHAMA COUNTY,TEHAMA CO SD,70,9,7,0,86
TRINITY COUNTY,TRINITY COUNTY SD,17,9,0,0,26
TULARE COUNTY,TULARE CO SD,300,34,17,0,351
TUOLUMNE COUNTY,TUOLUMNE CO SD,63,6,13,0,82
VENTURA COUNTY,VENTURA CO SD,730,25,33,3,791
YOLO COUNTY,YOLO CO SD,73,25,0,7,105
YUBA COUNTY,YUBA CO SD,84,23,12,0,119
